Simulation Duration,Total Created Tasks,Total Rejected Tasks
15,530,151

Node 1 - Compute Load History
Time (seconds),Load (FLOPS)
0.35561585426330566,70.0
0.35662412643432617,50.0
0.6537511348724365,0.0
1.0281097888946533,0.0
1.2944791316986084,0.0
1.6490271091461182,80.0
1.6503517627716064,60.0
1.828974962234497,50.0
1.948335886001587,50.0
2.102273464202881,50.0
2.3719656467437744,100.0
2.4856557846069336,50.0
2.7562174797058105,50.0
3.1816635131835938,50.0
3.294342279434204,0.0
3.451443672180176,0.0
4.263914346694946,0.0
5.074472904205322,0.0
5.34552788734436,0.0
6.1646199226379395,0.0
6.4338157176971436,0.0
7.059306383132935,80.0
7.061817169189453,60.0
7.063338279724121,40.0
7.241178035736084,40.0
7.264719247817993,0.0
8.04541277885437,0.0
8.312916278839111,0.0
9.11540150642395,0.0
9.383883237838745,100.0
9.471349477767944,80.0
9.472886800765991,60.0
9.4744131565094,40.0
9.675705432891846,50.0
10.18869400024414,100.0
10.304517984390259,50.0
10.455455780029297,50.0
10.572952270507812,0.0
11.26106882095337,100.0
11.34876298904419,80.0
11.34976840019226,60.0
11.350964784622192,40.0
11.552483081817627,60.0
11.79396653175354,50.0
12.064719200134277,50.0
12.181471109390259,50.0
12.334653377532959,50.0
12.717474699020386,0.0
13.14530086517334,90.0
13.231498003005981,70.0
13.233013391494751,50.0
13.416077852249146,50.0
13.530364274978638,0.0
14.228612661361694,0.0
14.495078325271606,90.0
14.497590780258179,90.0
14.582648515701294,80.0
14.58417296409607,60.0
14.763155698776245,50.0
14.882277250289917,50.0
Node 1 - Network Load History
Time (seconds),Network Load (Bytes)
0.35561585426330566,10.0
0.35662412643432617,5.0
0.6537511348724365,0.0
1.0281097888946533,0.0
1.2944791316986084,0.0
1.6490271091461182,15.0
1.6503517627716064,10.0
1.828974962234497,5.0
1.948335886001587,5.0
2.102273464202881,5.0
2.3719656467437744,10.0
2.4856557846069336,5.0
2.7562174797058105,5.0
3.1816635131835938,5.0
3.294342279434204,0.0
3.451443672180176,0.0
4.263914346694946,0.0
5.074472904205322,0.0
5.34552788734436,0.0
6.1646199226379395,0.0
6.4338157176971436,0.0
7.059306383132935,15.0
7.061817169189453,10.0
7.063338279724121,5.0
7.241178035736084,5.0
7.264719247817993,0.0
8.04541277885437,0.0
8.312916278839111,0.0
9.11540150642395,0.0
9.383883237838745,20.0
9.471349477767944,15.0
9.472886800765991,10.0
9.4744131565094,5.0
9.675705432891846,5.0
10.18869400024414,10.0
10.304517984390259,5.0
10.455455780029297,5.0
10.572952270507812,0.0
11.26106882095337,20.0
11.34876298904419,15.0
11.34976840019226,10.0
11.350964784622192,5.0
11.552483081817627,10.0
11.79396653175354,5.0
12.064719200134277,5.0
12.181471109390259,5.0
12.334653377532959,5.0
12.717474699020386,0.0
13.14530086517334,15.0
13.231498003005981,10.0
13.233013391494751,5.0
13.416077852249146,5.0
13.530364274978638,0.0
14.228612661361694,0.0
14.495078325271606,15.0
14.497590780258179,15.0
14.582648515701294,15.0
14.58417296409607,10.0
14.763155698776245,5.0
14.882277250289917,5.0
Node 1 - Running Tasks History
Time (seconds),Running Tasks Count
0.35561585426330566,2
0.35662412643432617,1
0.6537511348724365,0
1.0281097888946533,0
1.2944791316986084,0
1.6490271091461182,3
1.6503517627716064,2
1.828974962234497,1
1.948335886001587,1
2.102273464202881,1
2.3719656467437744,2
2.4856557846069336,1
2.7562174797058105,1
3.1816635131835938,1
3.294342279434204,0
3.451443672180176,0
4.263914346694946,0
5.074472904205322,0
5.34552788734436,0
6.1646199226379395,0
6.4338157176971436,0
7.059306383132935,3
7.061817169189453,2
7.063338279724121,1
7.241178035736084,1
7.264719247817993,0
8.04541277885437,0
8.312916278839111,0
9.11540150642395,0
9.383883237838745,4
9.471349477767944,3
9.472886800765991,2
9.4744131565094,1
9.675705432891846,1
10.18869400024414,2
10.304517984390259,1
10.455455780029297,1
10.572952270507812,0
11.26106882095337,4
11.34876298904419,3
11.34976840019226,2
11.350964784622192,1
11.552483081817627,2
11.79396653175354,1
12.064719200134277,1
12.181471109390259,1
12.334653377532959,1
12.717474699020386,0
13.14530086517334,3
13.231498003005981,2
13.233013391494751,1
13.416077852249146,1
13.530364274978638,0
14.228612661361694,0
14.495078325271606,3
14.497590780258179,3
14.582648515701294,3
14.58417296409607,2
14.763155698776245,1
14.882277250289917,1

Node 2 - Compute Load History
Time (seconds),Load (FLOPS)
0.651634931564331,49.382716049382715
0.652642011642456,0.0
1.0281097888946533,0.0
1.2944791316986084,0.0
1.9451191425323486,49.382716049382715
1.9471278190612793,0.0
2.102273464202881,0.0
2.3719656467437744,98.76543209876543
2.7517588138580322,49.382716049382715
2.7537784576416016,0.0
3.1816635131835938,98.76543209876543
3.451443672180176,98.76543209876543
3.563894510269165,49.382716049382715
3.56540846824646,0.0
4.263914346694946,0.0
5.074472904205322,0.0
5.34552788734436,0.0
6.1646199226379395,0.0
6.4338157176971436,0.0
7.241178035736084,98.76543209876543
8.04541277885437,98.76543209876543
8.121449947357178,0.0
8.312916278839111,0.0
9.11540150642395,98.76543209876543
9.232455015182495,49.382716049382715
9.233460664749146,0.0
9.383883237838745,0.0
10.18869400024414,98.76543209876543
10.455455780029297,98.76543209876543
10.568498849868774,49.382716049382715
10.569942235946655,0.0
11.26106882095337,98.76543209876543
11.375292778015137,49.382716049382715
11.376298904418945,0.0
12.064719200134277,0.0
12.334653377532959,0.0
